Time,Ma,Fb,Fc
0.000000000,-124.138000000,102.657000000,17.553500000
0.001000000,-116.479000000,103.154000000,16.876100000
0.002000000,-108.488000000,103.568000000,16.135000000
0.003000000,-100.217000000,103.910000000,15.340200000
0.004000000,-91.710600000,104.188000000,14.502700000
0.005000000,-83.010900000,104.411000000,13.634700000
0.006000000,-74.153500000,104.588000000,12.749840000
0.007000000,-65.169380000,104.726000000,11.864000000
0.008000000,-56.084700000,104.833000000,10.995500000
0.009000000,-46.921400000,104.915000000,10.166600000
0.010000000,-37.697600000,104.976000000,9.403820000
0.011000000,-28.428400000,105.020470000,8.738570000
0.012000000,-19.126100000,105.053000000,8.206290000
0.013000000,-9.801080000,105.074000000,7.842750000
0.014000000,-0.462540000,105.087000000,7.677210000
0.015000000,8.880980000,105.090660000,7.724080000
0.016000000,18.220800000,105.085000000,7.977840000
0.017000000,27.547500000,105.069000000,8.414900000
0.018000000,36.850200000,105.038000000,9.000970000
0.019000000,46.115780000,104.991000000,9.699180000
0.020000000,55.328400000,104.922000000,10.475300000
0.021000000,64.468900000,104.825630000,11.299900000
0.022000000,73.514100000,104.696000000,12.148400000
0.023000000,82.436400000,104.525200000,13.000170000
0.024000000,91.203400000,104.306000000,13.838100000
0.025000000,99.777740000,104.030000000,14.647300000
0.026000000,108.117000000,103.687000000,15.414700000
0.027000000,116.173000000,103.269000000,16.128800000
0.028000000,123.893000000,102.765800000,16.779000000
0.029000000,131.221000000,102.168000000,17.356100000
0.030000000,138.096000000,101.465000000,17.851650000
0.031000000,144.455000000,100.650000000,18.258400000
0.032000000,150.234000000,99.714400000,18.570200000
0.033000000,155.369000000,98.650700000,18.782370000
0.034000000,159.798000000,97.453700000,18.891600000
0.035000000,163.463000000,96.119500000,18.896370000
0.036000000,166.313000000,94.646200000,18.796900000
0.037000000,168.303000000,93.033800000,18.595600000
0.038000000,169.399000000,91.284600000,18.297000000
0.039000000,169.578000000,89.403400000,17.907700000
0.040000000,168.829000000,87.397200000,17.436800000
0.041000000,167.157000000,85.275400000,16.896000000
0.042000000,164.577000000,83.049800000,16.298820000
0.043000000,161.121000000,80.734000000,15.661500000
0.044000000,156.833000000,78.343700000,15.002000000
0.045000000,151.769000000,75.896100000,14.340100000
0.046000000,145.996000000,73.409800000,13.697100000
0.047000000,139.589000000,70.904300000,13.094300000
0.048000000,132.628000000,68.399900000,12.552600000
0.049000000,125.198000000,65.917000000,12.090800000
0.050000000,117.385000000,63.476500000,11.723700000
0.051000000,109.271000000,61.098660000,11.460610000
0.052000000,100.937000000,58.803600000,11.303800000
0.053000000,92.454620000,56.610800000,11.248300000
0.054000000,83.889800000,54.538800000,11.282540000
0.055000000,75.297700000,52.605400000,11.390200000
0.056000000,66.723100000,50.827100000,11.552200000
0.057000000,58.199600000,49.219400000,11.748470000
0.058000000,49.749700000,47.796600000,11.960220000
0.059000000,41.384900000,46.571200000,12.170400000
0.060000000,33.106600000,45.554600000,12.364700000
0.061000000,24.907100000,44.756200000,12.531500000
0.062000000,16.771400000,44.183700000,12.662100000
0.063000000,8.678480000,43.842500000,12.750620000
0.064000000,0.603370000,43.736000000,12.793800000
0.065000000,-7.480670000,43.865400000,12.791210000
0.066000000,-15.600100000,44.229500000,12.744800000
0.067000000,-23.779140000,44.824700000,12.659270000
0.068000000,-32.037400000,45.645400000,12.541900000
0.069000000,-40.388500000,46.683830000,12.402800000
0.070000000,-48.837700000,47.930300000,12.254400000
0.071000000,-57.381500000,49.373400000,12.111800000
0.072000000,-66.005400000,51.000100000,11.991900000
0.073000000,-74.684300000,52.796000000,11.913000000
0.074000000,-83.381700000,54.745300000,11.893060000
0.075000000,-92.049800000,56.831100000,11.948500000
0.076000000,-100.631000000,59.035300000,12.092100000
0.077000000,-109.057000000,61.339200000,12.331700000
0.078000000,-117.253000000,63.722900000,12.669000000
0.079000000,-125.138000000,66.166300000,13.099100000
0.080000000,-132.628000000,68.648700000,13.611600000
0.081000000,-139.636000000,71.149500000,14.191500000
0.082000000,-146.078000000,73.647900000,14.820800000
0.083000000,-151.873000000,76.123900000,15.479600000
0.084000000,-156.947540000,78.558090000,16.147900000
0.085000000,-161.237000000,80.932100000,16.805900000
0.086000000,-164.685000000,83.229000000,17.435200000
0.087000000,-167.252000000,85.433500000,18.018800000
0.088000000,-168.908000000,87.532400000,18.541800000
0.089000000,-169.639000000,89.514400000,18.991100000
0.090000000,-169.443000000,91.370500000,19.356000000
0.091000000,-168.334000000,93.094300000,19.628300000
0.092000000,-166.335000000,94.681480000,19.801700000
0.093000000,-163.484000000,96.130300000,19.872300000
0.094000000,-159.825000000,97.441200000,19.838100000
0.095000000,-155.411000000,98.616400000,19.699300000
0.096000000,-150.300000000,99.660300000,19.457700000
0.097000000,-144.554000000,100.579000000,19.116900000
0.098000000,-138.236000000,101.379000000,18.681600000
0.099000000,-131.410000000,102.069000000,18.158000000
0.100000000,-124.138000000,102.657000000,17.553500000
